way_id,seq,lat,lon,highway
22871684,2,41.2397447,69.16908,trunk
22871685,0,41.2382486,69.1676025,trunk
22871685,1,41.2386862,69.1680374,trunk
22871705,0,41.2970325,69.1505951,trunk
22871705,1,41.296748,69.1505626,trunk
22871705,2,41.2965641,69.1505416,trunk
22871705,3,41.2962426,69.1504995,trunk
22871705,4,41.295896,69.1504547,trunk
22871705,5,41.2954981,69.150402,trunk
22871705,6,41.2949444,69.1503314,trunk
22871705,7,41.2945194,69.1502773,trunk
22871705,8,41.2940298,69.1502149,trunk
22871705,9,41.2925833,69.1500233,trunk
22871705,10,41.2918447,69.1499258,trunk
22871705,11,41.2914915,69.1498832,trunk
22871705,12,41.2907731,69.1497911,trunk
22871705,13,41.2906255,69.1497739,trunk
22871823,0,41.2501646,69.2177614,primary
22871823,1,41.2503954,69.2177215,primary
22871823,2,41.2509032,69.2176338,primary
22871823,3,41.251061,69.2176065,primary
22871823,4,41.2516602,69.2175029,primary
22871823,5,41.2517085,69.2174945,primary
22871823,6,41.252319,69.2173949,primary
22871824,0,41.2582663,69.218687,primary
22871824,1,41.2584344,69.2192893,primary
22871824,2,41.2585571,69.2197993,primary
22871824,3,41.2586917,69.2203789,primary
22871824,4,41.2588022,69.2208947,primary
22871824,5,41.2588187,69.2209677,primary
22871824,6,41.2591236,69.2223136,primary
22871824,7,41.2591741,69.2225388,primary
22871824,8,41.2592414,69.2228374,primary
22871824,9,41.2593302,69.2232309,primary
22871824,10,41.2593979,69.2235312,primary
22871824,11,41.2594336,69.2236914,primary
22887830,0,41.394696,69.2280129,trunk
22887830,1,41.3948326,69.2282306,trunk
22887830,2,41.3950877,69.2286372,trunk
22887832,0,41.3950877,69.2286372,trunk
22887832,1,41.3964562,69.2308819,trunk
22887832,2,41.3965952,69.2311393,trunk
22887832,3,41.3967587,69.2314331,trunk
22887832,4,41.3969157,69.2317328,trunk
22887832,5,41.3970179,69.2319515,trunk
22887832,6,41.3971131,69.2321782,trunk
22887832,7,41.3972049,69.2324062,trunk
22887832,8,41.3972926,69.2326343,trunk
22887832,9,41.3973827,69.2328692,trunk
22887832,10,41.3974712,69.2331051,trunk
22887832,11,41.3975528,69.233339,trunk
22887832,12,41.3976321,69.2335759,trunk
22887832,13,41.3977053,69.2338171,trunk
22887832,14,41.397774,69.2340613,trunk
22887832,15,41.3978364,69.2343071,trunk
22887832,16,41.3978951,69.2345546,trunk
22887832,17,41.3979506,69.2348059,trunk
22887832,18,41.3980033,69.2350571,trunk
22887832,19,41.3980483,69.2353069,trunk
22887832,20,41.3980926,69.2355567,trunk
22887832,21,41.3981242,69.235742,trunk
22887832,22,41.3981354,69.2358078,trunk
22887832,23,41.3981754,69.2360607,trunk
22887832,24,41.3982072,69.2363134,trunk
22887832,25,41.3982355,69.2365661,trunk
22887832,26,41.3982425,69.2366455,trunk
22887832,27,41.3982798,69.2370837,trunk
22887832,28,41.3982933,69.2373418,trunk
22887832,29,41.3983014,69.2376,trunk
22887832,30,41.3983027,69.2377378,trunk
22887832,31,41.3983063,69.2381108,trunk
22887832,32,41.3983051,69.2386225,trunk
22887832,33,41.3982878,69.2391795,trunk
22887832,34,41.3982801,69.2394052,trunk
22887832,35,41.3982734,69.2396003,trunk
22887832,36,41.3982666,69.2397993,trunk
22887832,37,41.3982442,69.2404589,trunk
22887832,38,41.3982342,69.240752,trunk
22887832,39,41.3982317,69.2408253,trunk
22887832,40,41.3982242,69.241045,trunk
22887832,41,41.3982112,69.2414544,trunk
22887832,42,41.398191,69.242089,trunk
22887832,43,41.3981204,69.2443038,trunk
22887832,44,41.3980097,69.2481758,trunk
22887832,45,41.3979571,69.2499658,trunk
22887832,46,41.3979462,69.2503359,trunk
22887832,47,41.3979406,69.2505278,trunk
22887832,48,41.397854,69.2532349,trunk
22887832,49,41.3978446,69.2534875,trunk
22887832,50,41.3978083,69.254457,trunk
22887832,51,41.3977639,69.255645,trunk
22887832,52,41.3977306,69.256536,trunk
22887832,53,41.3977186,69.25678,trunk
22887832,54,41.3977053,69.257051,trunk
