lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.35360,69.33504,98-sonli umumiy o`rta ta`lim maktabi,661,1.24,39.2
41.34350,69.30107,105-sonli umumiy o`rta ta`lim maktabi,1101,1.47,39.4
41.35197,69.29836,117-sonli umumiy o`rta ta`lim maktabi,855,1.93,39.8
41.36596,69.31092,122-sonli umumiy o`rta ta`lim maktabi,911,1.51,39.4
41.34933,69.26646,150-sonli umumiy o`rta ta`lim maktabi,232,5.65,44.6
41.36520,69.27638,220-sonli umumiy o`rta ta`lim maktabi,567,4.48,42.5
41.37060,69.28365,235-sonli umumiy o`rta ta`lim maktabi,230,3.52,42.5
41.36971,69.28965,240-sonli umumiy o`rta ta`lim maktabi,270,2.95,41.7
41.36734,69.29771,246-sonli umumiy o`rta ta`lim maktabi,340,2.27,40.7
41.37813,69.30197,247-sonli umumiy o`rta ta`lim maktabi,463,2.06,40.2
41.37025,69.30641,250-ixtisoslashtirilgan davlat umumta'li,1019,1.77,39.7
41.37563,69.31612,257-sonli umumiy o`rta ta`lim maktabi,437,1.44,39.6
41.37472,69.31513,258-sonli umumiy o`rta ta`lim maktabi,548,1.46,39.5
