priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
123,19-sonli umumiy o'rta ta'lim maktabi,41.32703,69.25780,240,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,0.99,186.9,0.531,90,no,no
124,206-sonli umumiy o'rta ta'lim maktabi,41.25313,69.34005,911,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.9,243.1,0.53,292,no,no
125,30-sonli umumiy o'rta ta'lim maktabi,41.40848,69.19148,885,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.9,213.4,0.529,296,no,no
126,179-sonli umumiy o'rta ta'lim maktabi,41.29540,69.20783,299,pre-1992 (Soviet-era),0.8,30.9,48.2,YES,6.2,0.97,186.0,0.529,103,no,no
127,1-sonli umumiy o'rta ta'lim maktabi,41.32983,69.23000,214,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,1.03,191.3,0.529,75,no,no
128,290-sonli umumiy o'rta ta'lim maktabi,41.23387,69.35070,1273,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.9,222.2,0.529,252,no,no
129,37-sonli umumiy o'rta ta'lim maktabi,41.23254,69.35786,1033,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.9,202.6,0.528,274,no,no
130,114-sonli umumiy o'rta ta'lim maktabi,41.26609,69.19431,414,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,0.94,183.3,0.528,156,no,no
131,160-sonli ixtisoslashtirilgan davlat umumiy o'rta ta'lim maktabi,41.29173,69.26227,54,pre-1992 (Soviet-era),0.8,33.1,51.6,YES,6.6,1.28,187.9,0.528,14,no,no
132,193-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.29855,69.16454,728,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.91,187.8,0.528,189,no,no
133,157 - sonli umumiy o'rta ta'lim maktabi,41.30549,69.21184,306,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,0.97,189.9,0.528,116,no,no
134,188-sonli umumiy o'rta ta'lim maktabi,41.26405,69.21191,478,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,0.94,188.9,0.527,181,no,no
135,298-sonli umumiy o'rta ta'lim maktabi,41.33226,69.22387,228,pre-1992 (Soviet-era),0.8,31.2,48.7,YES,6.2,1.03,185.2,0.527,77,no,no
136,197-sonli umumiy o'rta ta'lim maktabi,41.29720,69.15958,735,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.91,188.3,0.526,310,no,no
137,155-sonli umumiy o'rta ta'lim maktabi,41.28670,69.32642,1770,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.94,228.4,0.525,293,no,no
138,153-sonli umumiy o'rta ta'lim maktabi,41.29195,69.32972,1449,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.94,234.6,0.525,283,no,no
139,14-sonli umumiy o'rta ta'lim maktabi,41.34839,69.43244,2443,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.91,141.0,0.525,267,no,no
140,6-sonli ayrim fanlar chuqur o`qitiladigan sinflari mavjud umumiy o`rta ta`lim maktabi umumiy orta ta’lim maktabi,41.36644,69.41250,308,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.0,206.4,0.525,119,no,no
141,149-sonli umumiy o'rta ta'lim maktabi,41.28256,69.34405,1368,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.94,220.6,0.525,317,no,no
142,"227,Tashkent,Yashnobod",41.28579,69.33997,1536,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.94,220.6,0.525,276,no,no
143,47-sonli umumiy o'rta ta'lim maktabi,41.24688,69.29849,286,pre-1992 (Soviet-era),0.8,30.9,48.2,YES,6.2,1.01,181.4,0.524,107,no,no
